,Date,S1,C1,S2,C2,S3,C3,S4,C4,VRE,Load,Price
1,1/1/2050,0.000717259,0.999999743,0.001434517,0.999998971,0.002151774,0.999997685,0.00286903,0.999995884,3159.3,16624.5,30.12
2,1/1/2050,0.001434517,0.999998971,0.00286903,0.999995884,0.004303538,0.99999074,0.005738037,0.999983537,3226.7,15266.7,30.12
3,1/1/2050,0.002151774,0.999997685,0.004303538,0.99999074,0.006455283,0.999979164,0.008606997,0.999962959,3276.6,14712.7,30.12
4,1/1/2050,0.00286903,0.999995884,0.005738037,0.999983537,0.008606997,0.999962959,0.011475886,0.99993415,3332.2,14290.8,30.12
5,1/1/2050,0.003586285,0.999993569,0.007172524,0.999974277,0.010758671,0.999942124,0.01434468,0.99989711,3613.5,14051.4,30.12
6,1/1/2050,0.004303538,0.99999074,0.008606997,0.999962959,0.012910296,0.999916659,0.017213356,0.999851839,4286.9,14373.3,30.12
7,1/1/2050,0.005020789,0.999987396,0.010041452,0.999949583,0.015061861,0.999886564,0.020081891,0.999798338,5440,15014.5,30.12
8,1/1/2050,0.005738037,0.999983537,0.011475886,0.99993415,0.017213356,0.999851839,0.02295026,0.999736608,11942.8,21007.6,22.87
9,1/1/2050,0.006455283,0.999979164,0.012910296,0.999916659,0.019364772,0.999812485,0.02581844,0.999666649,18599.2,27389,22.87
10,1/1/2050,0.007172524,0.999974277,0.01434468,0.99989711,0.021516097,0.999768502,0.028686408,0.99958846,20149.5,29547,22.87
11,1/1/2050,0.007889763,0.999968875,0.015779034,0.999875503,0.023667324,0.99971989,0.03155414,0.999502044,20361,28341.9,22.87
12,1/1/2050,0.008606997,0.999962959,0.017213356,0.999851839,0.02581844,0.999666649,0.034421612,0.999407401,21022.1,28646,22.87
13,1/1/2050,0.009324227,0.999956528,0.018647643,0.999826118,0.027969437,0.999608779,0.0372888,0.999304531,24017,32538.3,22.87
14,1/1/2050,0.010041452,0.999949583,0.020081891,0.999798338,0.030120305,0.999546281,0.040155682,0.999193435,28062.9,35214.8,22.87
15,1/1/2050,0.010758671,0.999942124,0.021516097,0.999768502,0.032271033,0.999479155,0.043022233,0.999074115,27209.3,34067.8,22.87
16,1/1/2050,0.011475886,0.99993415,0.02295026,0.999736608,0.034421612,0.999407401,0.04588843,0.998946571,22031.6,20824.8,26.67
17,1/1/2050,0.012193094,0.999925661,0.024384375,0.999702657,0.036572031,0.99933102,0.048754249,0.998810804,19019.6,22057.7,28.89
18,1/1/2050,0.012910296,0.999916659,0.02581844,0.999666649,0.038722281,0.999250011,0.051619667,0.998666816,19664.9,24670.5,28.89
19,1/1/2050,0.013627492,0.999907141,0.027252452,0.999628583,0.040872352,0.999164376,0.05448466,0.998514608,19968,25918.5,28.89
20,1/1/2050,0.01434468,0.99989711,0.028686408,0.99958846,0.043022233,0.999074115,0.057349205,0.99835418,20233.4,25183.5,28.89
21,1/1/2050,0.015061861,0.999886564,0.030120305,0.999546281,0.045171915,0.998979228,0.060213277,0.998185534,20336.7,23750.9,28.89
22,1/1/2050,0.015779034,0.999875503,0.03155414,0.999502044,0.047321388,0.998879716,0.063076854,0.998008673,20238.8,22219,29.53
23,1/1/2050,0.016496199,0.999863928,0.03298791,0.999455751,0.049470642,0.998775578,0.065939912,0.997823596,20391,20111.7,29.53
24,1/1/2050,0.017213356,0.999851839,0.034421612,0.999407401,0.051619667,0.998666816,0.068802427,0.997630305,21362.9,17696.2,29.53
25,1/2/2050,0.017930504,0.999839236,0.035855243,0.999356994,0.053768453,0.99855343,0.071664375,0.997428803,22437.1,15040.6,27.83
26,1/2/2050,0.018647643,0.999826118,0.0372888,0.999304531,0.05591699,0.998435421,0.074525734,0.997219091,23290.8,14332.3,27.83
